id,text,label,prelabeled_by_ai,notes
1,"If you're struggling to climb in the current meta, prioritize picking champions with built-in mobility. Immobile carries get punished hard by the assassin population right now. Zed, Talon, and Akali are all strong and you need something that can either dodge their burst or kill them first.",strategy,True,
2,"FAKER JUST WON HIS 5TH WORLD CHAMPIONSHIP. I don't even have words. Greatest esports player of all time, no debate.",hype,True,
3,"I'm so tired of Riot buffing assassins every single patch. There is literally zero counterplay to getting one-shot from fog of war. Just delete the class at this point.",complaint,True,
4,"Scuttle crab control at 3:15 is more valuable than people think. If you take scuttle before the enemy jungler, you deny them vision and XP while setting up your mid laner to roam. Path red → blue → gromp → scuttle for most junglers in the current patch.",strategy,True,
5,"The new Arcane skin line is absolutely gorgeous. Riot's art team knocked it out of the park. I would spend all my RP right now if I could.",hype,True,
6,"Matchmaking in this game is completely broken. I keep getting placed with Bronze players in my Gold games. How is this supposed to help anyone climb?",complaint,True,
7,"Jinx is being heavily undervalued in solo queue right now. Her late-game hyperscaling means any game that goes past 35 minutes is almost an automatic win. If your ranked games are going long, she's your best bet.",strategy,True,
8,"T1 vs GenG game 5 was the best game of competitive LoL I have ever watched. That baron fight at 40 minutes gave me an actual heart attack.",hype,True,
9,"Why does every new champion Riot releases have to be a 400-damage point-and-click ability? It's like they have no imagination left.",complaint,True,
10,"When playing support, roaming to mid at level 6 is almost always worth it if your bot lane has priority. Ping your ADC to hold and walk up river. Even a failed roam often forces the enemy mid laner to back and wastes their time.",strategy,True,
11,"Patch 14.11 is going to be so much fun. The item changes look insane and I can already tell the game is about to feel completely different. So hyped.",hype,True,
12,"The ranked queue is full of smurfs and it's ruining the game for everyone. Riot does nothing about it and it's been a problem for years.",complaint,True,
13,"Kraken Slayer is being massively over-built on ADCs right now. The passive only procs every 3 hits, which means against squishy mages and assassins you're almost never getting full value. Switch to Galeforce for the active dash in those matchups.",strategy,True,
14,"LCS production value this split has been incredible. The stage setup and camera work are on another level. Love seeing the scene grow like this.",hype,True,
15,"Riot's communication with the player base is nonexistent. They'll post a tweet once a month and call that community engagement. It's embarrassing.",complaint,True,
16,"Against heavy poke compositions, take short trades and back off immediately. Don't try to all-in at 60% HP because you'll just die. Wait for their cooldowns to be down after a wave then look for the quick engage.",strategy,True,
17,"The Void Grub objective is one of the best things Riot has added to the game in years. It completely changes early game pathing decisions and makes the first 14 minutes actually interesting.",hype,True,
18,"I just had a Yasuo one-trick flame the entire team for 30 minutes while going 2/11. This community is genuinely one of the worst on the internet.",complaint,True,
19,"When you're ahead as a toplaner, don't sit in side lane all game. Join your team for mid-game objectives like Dragon and Herald. A fed split-pusher who never groups is often less impactful than you'd think.",strategy,True,
20,"New champion reveal just dropped and she looks absolutely broken. The kit looks fun as hell though. Day one main confirmed.",hype,True,
21,"The client is an absolute disaster. It crashes, it lags, it eats memory like nothing else. How is this still the state of the client after 10 years?",complaint,True,
22,"In the current jungle meta, prioritizing Herald over Dragon in the first 20 minutes is almost always correct. Herald gives you a tower and map pressure; Dragon stacks only matter if you can actually get 4 or 5.",strategy,True,
23,"Watching Cloud9 pull off that miracle run at Worlds was genuinely one of the most exciting things I've ever seen in esports. North America finally does something!",hype,True,
24,"Whoever thought giving tanks a slow, a stun, and 4000 HP was balanced needs to take a break from game design.",complaint,True,
25,"For mid laners, wave management is the most underrated skill. When you have priority, push the wave under the enemy tower before roaming. This forces them to choose between farming and following you.",strategy,True,
26,"The Star Guardian event skins this year are some of the best Riot has ever made. The animations are so detailed and the voicelines are actually funny.",hype,True,
27,"Bronze-to-Gold players almost never lose because of champion picks. They lose because of map awareness. Buy a control ward every single back. Place it in a meaningful location. This habit alone will win you games.",strategy,True,
28,"I genuinely don't understand how Teemo is still allowed to exist in this game. Invisible mushrooms with no counterplay that one-shot you. Delete him.",complaint,True,
29,"MSI this year was such a banger. The group stage alone had more hype moments than last year's entire tournament.",hype,True,
30,"When playing ranged supports vs melee supports, abuse your level 1 and 2 power spike. Get three autos on the enemy support before minions arrive. You win the early trade almost every time.",strategy,True,
31,"The ping system in this game is unbelievably bad. I've been pinging danger for 10 seconds and my toplaner still walks into a 1v4. Why even have pings.",complaint,True,
32,"The new jungle changes are genuinely brilliant. It feels like every decision actually matters now. This is what the early game should have always felt like.",hype,True,
33,"In teamfights, ADCs should always be targeting whoever is closest to them, not trying to hit the fed carry across the map. Staying alive and dealing consistent damage beats one hero play.",strategy,True,
34,"Riot keeps removing things from the game that actually had skill expression and replacing them with simple point-and-click abilities. The game is getting dumbed down patch by patch.",complaint,True,
35,"Caps is genuinely the best western mid laner we've ever had. Watching him carry G2 in clutch moments never gets old.",hype,True,
36,"If you're playing a short-range ADC like Sivir or Jinx, you should almost always be positioned behind at least two teammates in teamfights. Staying safe matters more than dealing damage early in the fight.",strategy,True,
37,"The queue times at high elo are so bad it's basically unplayable. I waited 20 minutes for a game this morning. This is not acceptable.",complaint,True,
38,"That 1v9 carry from Chovy last night was one of the cleanest performances I've ever seen from a pro player. Just absolutely clinical.",hype,True,
39,"In the early laning phase, hitting level 2 before your opponent is a major power spike for most champions. Stack your cannon minion on level 1 to make sure you hit 2 first.",strategy,True,
40,"The Aurelion Sol rework is one of the best Riot has ever done. The new kit feels so much more satisfying while still being recognizable. More of this please.",hype,True,
41,"I lost my promo game because my internet cut out for 30 seconds. There should be some kind of remake protection for disconnects that aren't your fault.",complaint,True,
42,"Warding the enemy jungle entrances after a successful dragon fight gives you vision of their next objective route. Don't just take the objective and leave — use the tempo to control vision.",strategy,True,
43,"The new battle pass this season is actually incredible value compared to previous years. Riot finally listened to feedback and made progression feel rewarding.",hype,True,
44,"Support players in solo queue are so unappreciated. You do everything right all game and your ADC still blames you for dying when they walked into a 1v3.",complaint,True,
45,"If you're getting counterpicked in toplane, focus on surviving the laning phase rather than trying to win. Farm safely, don't die, and look for teleport plays on the map.",strategy,True,
46,"The teamfight animation for Orianna's ult still gives me chills every time. One of the best designed abilities in the game aesthetically.",hype,True,
47,"Riot has completely given up on mages in the bot lane. Every update pushes the meta further toward marksmen and there's no longer any real viable alternative.",complaint,True,
48,"In high-elo games, the jungle tax on solo lanes is a real thing. Let your jungler take cannon minions after a gank to keep them healthy and ahead — short-term loss, long-term map advantage.",strategy,True,
49,"When Smeb was at his peak he was the greatest toplaner to ever play the game. His Gangplank games in 2016 are still the gold standard.",hype,True,
50,"The new surrender vote UI is somehow worse than the old one. How do you make something simpler and still make it worse?",complaint,True,
51,"Teleport timing matters more than people realize. If you're ahead in a side lane, don't TP to a lost fight. TP to a winning fight or to take a tower while they're fighting elsewhere.",strategy,True,
52,"Watching the LCK play is genuinely like watching a different game. The macro is so clean and deliberate compared to western leagues.",hype,True,
53,"The amount of visual clutter in teamfights is insane. I genuinely cannot see what's happening half the time. Riot needs to address this seriously.",complaint,True,
54,"Flash cooldown is 300 seconds. Track the enemy's flash timer in your head. If you know they burned flash 4 minutes ago, play aggressively at the 5-minute mark.",strategy,True,
55,"Gumayusi's mechanics are just on another level compared to any other ADC in the world right now. Every time he plays Ezreal it's like a masterclass.",hype,True,
56,"Dodge culture in this game is such a problem. People dodge if they don't get their champion and then the queue resets for everyone else. The penalties are not nearly harsh enough.",complaint,True,
57,"When building AP assassins, pick up Shadowflame before Void Staff unless they already have 3 or more MR items. Shadowflame's magic pen is better value early when they're squishy.",strategy,True,
58,"The World Championship main event stage setup looked incredible this year. I get chills watching the opening ceremony every single time.",hype,True,
59,"Riot's approach to toxicity is completely backwards. Banning accounts instead of IP addresses means toxic players just make new accounts and do it all over again.",complaint,True,
60,"Control mages like Orianna and Azir should rarely be the ones initiating fights. Stay behind your engage threats, set up your positioning, and let the engage come to you.",strategy,True,
61,"The Ruined King event story was genuinely one of Riot's best pieces of narrative content. The buildup to Viego was incredible.",hype,True,
62,"Why is surrender not available before 15 minutes? Sometimes a game is just over after 3 minutes and you're forced to sit through 12 more minutes of misery.",complaint,True,
63,"Draven is one of the highest-skill-ceiling ADCs in the game but he's also one of the most rewarding. Learning to catch axes consistently is the entire champion. Start in practice tool and get to 20 consecutive catches before taking him ranked.",strategy,True,
64,"The new champion passive design from the last few releases has been so creative. Riot's designers are clearly pushing themselves in really interesting directions.",hype,True,
65,"I've been hardstuck Gold 4 for 3 seasons now and I genuinely believe the system is broken. I win 6 in a row and get +16 LP. I lose one and it's -22. Explain that.",complaint,True,
66,"When playing a carry jungle like Kha'Zix or Rengar, gank lanes that are already winning. Counter-intuitive, but getting your already-strong laner further ahead creates more map pressure than trying to save a losing lane.",strategy,True,
67,"Seeing Uzi come back from retirement and still be one of the best ADCs in the world is one of the most heartwarming things in competitive LoL.",hype,True,
68,"The leaver buster system is completely broken. My power went out once and I got a 20-minute low-priority queue. Meanwhile actual AFKers in my games face zero consequences.",complaint,True,
69,"When playing melee champions in a ranged matchup, use minions as a shield. Walk behind the minion wave to trade, then step back. This dramatically reduces the damage you take from poke.",strategy,True,
70,"Zeri's movement mechanics are genuinely some of the most creative ability design in the game. Watching a good Zeri player is like watching someone break the rules of physics.",hype,True,
71,"Solo queue ranked experience is at an all-time low. AFKs, intentional feeders, and smurfs every other game. I don't know why I keep playing.",complaint,True,
72,"For support players, understanding when to peel versus when to engage is the highest-leverage decision you make each teamfight. If your ADC is the win condition, peel. If they're not, look for the engage.",strategy,True,
73,"The Pentakill band music is still some of the best gaming-adjacent content ever produced. Those songs are legitimately good metal.",hype,True,
74,"Jungle role is absolutely miserable right now. You get blamed for every losing lane even when you're literally across the map. The role has the worst experience in the game.",complaint,True,
75,"Proxying the wave as a toplaner can be high value but it's also high risk. Only proxy if you're confident you can survive, if you have TP, or if the enemy tower is already low. Don't proxy if the game state doesn't support the risk.",strategy,True,
76,"Cloud9 Blaber is so incredibly underrated in the western scene. His pathing decisions are basically always optimal and he never gets enough credit.",hype,True,
77,"The new item system is still a mess two years later. There are so many dead items that nobody builds and the stat efficiency is wildly inconsistent across classes.",complaint,True,
78,"Lethality stacking on assassins only works if you're ahead. If you're even or behind, pivot toward survivability items that let you get on top of carries. A dead assassin does zero damage.",strategy,True,
79,"That backdoor by Fnatic in the LEC playoffs is going in the hall of fame. Nobody in the arena could believe it.",hype,True,
80,"The way Riot handles champion reworks is so frustrating. They rework Skarner while leaving actually broken champions untouched for years.",complaint,True,
81,"Playing Ryze in the mid lane requires mastering flux management. Use W → E on the minion wave, then walk up to the enemy and Q. The bonus damage when flux is active makes your short trade output much higher than it looks on paper.",strategy,True,
82,"Seeing rookie players hit their first Pentakill compilation videos are genuinely the most wholesome content in the LoL community.",hype,True,
83,"I can't believe honor level rewards are still basically cosmetically worthless. Riot gives us profile icons and then acts like they've done us a favor.",complaint,True,
84,"When you have the baron buff, split your team to push multiple lanes simultaneously rather than grouping as 5. The buff's value comes from taking multiple objectives, not from winning one more teamfight.",strategy,True,
85,"The Arcane Netflix show single-handedly renewed my love for this game and the lore. Vi and Jinx's relationship is one of the best in gaming narratives.",hype,True,
86,"ARAM is in the worst state it's ever been. The map is so small that certain champions just win every single game and Riot refuses to balance around it properly.",complaint,True,
87,"For toplaners playing carries into tanks, respect their all-in power at level 6. Tanks with CC and health often win extended trades at 6 even when you're mechanically ahead. Wait for your jungler or back off when they hit their power spike.",strategy,True,
88,"Zed montages never get old. The mechanic of going in with your shadow and coming out behind an unsuspecting carry is still one of the most satisfying things in the game.",hype,True,
89,"The honor system is a complete joke. You can honor someone every game for a year and it barely moves your honor level. It's not rewarding at all.",complaint,True,
90,"In low-elo, macro mistakes lose more games than mechanical mistakes. Focus on not dying rather than making plays. Every death gives your opponent gold, XP advantage, and pressure. Play boring and safe.",strategy,True,
91,"Every single LCK finals I watch I fall more in love with the competitive scene. The players look so hungry and the crowd energy is unreal.",hype,True,
92,"Riot's pricing for skins has gotten completely out of control. A legendary skin at 1820 RP was already pushing it. Ultimate skins at 3250 is just greed.",complaint,True,
93,"Exhaust is massively underused in support. Against assassin mid laners with dive potential, Exhaust can single-handedly save your carry. Consider it over Ignite when the enemy team has two or more high-damage divers.",strategy,True,
94,"Watching Uzi play was just a completely different experience. He made every other ADC look like they were playing in slow motion. Miss him so much.",hype,True,
95,"The autofill system makes support one of the most miserable roles to main. Half your games you're support and the other half you're playing with someone who hates being there.",complaint,True,
96,"For mid laners roaming to bot, always check the wave state before you go. If the bot wave is crashing into tower, your roam will probably just push the wave for them. Wait until you have priority and the wave is in a position where your presence creates real pressure.",strategy,True,
97,"The moment Doublelift said 'we're going to win Worlds this year' and then proceeded to be Doublelift at Worlds is one of the most iconic moments in NA LoL history.",hype,True,
98,"Riot consistently nerfs champions that are dominant at the pro level without thinking about how those nerfs affect solo queue. Azir is unplayable in solo queue because of pro-motivated nerfs.",complaint,True,
99,"When you see the enemy jungler on the other side of the map, don't just sit in lane. Extend your lead — push the wave, take a plate, ward deeper. Use the information you have.",strategy,True,
100,"The entire run of G2 in 2019 was the most exciting period in western competitive LoL ever. Perkz, Caps, Jankos — that team was just electric.",hype,True,
101,"The practice tool is still missing basic features after years. You can't set enemy cooldowns, you can't simulate ganks properly, and the dummy behavior is basically useless.",complaint,True,
102,"If you're behind as an ADC, don't try to make plays. Sit back, farm safely, and let your team create opportunities for you. A 2/5 ADC with 200 CS is still useful at 35 minutes. A 2/5 ADC with 140 CS is not.",strategy,True,
103,"The LPL's production quality has gotten so good. The broadcasts used to feel lower tier and now they genuinely rival LCK and LEC.",hype,True,
104,"There is no good reason why champion select still takes 5 minutes. The process could be streamlined so easily and they've done nothing about it.",complaint,True,
105,"In pro play, champions with point-and-click CC are always valued because coordination is too high to rely on skillshots for engage. In solo queue, the value flips — skillshot CC is more playable when coordination is low.",strategy,True,
106,"Seeing young Korean rookies come into LCK and immediately play at the highest level never stops being impressive. The training infrastructure there is just incredible.",hype,True,
107,"The new season ranked changes are making climbing feel more random than ever. Provisional games that set your starting LP are broken and inconsistent.",complaint,True,
108,"When playing from behind as a team, fight around objectives, not in the open field. Objective location forces the enemy to come to you and limits the space advantage their gold lead would otherwise give them.",strategy,True,
109,"The championship Ashe skin is still one of the most beautiful skins in the game. That arrow animation is simply perfect.",hype,True,
110,"Why is there no viable way to report post-game? The system asks you to report in the results screen but half the time it doesn't even load properly.",complaint,True,
111,"Tank supports like Nautilus and Leona have hard lane windows. Nautilus peaks at level 2 with his root combo. If you don't engage in those windows and let the enemy sustain through them, you lose your power spike.",strategy,True,
112,"The 2022 Worlds was genuinely one of the greatest sporting events I have ever watched. Faker coming back, DRX's run — it was unbelievable.",hype,True,
113,"The tooltip text in this game is some of the worst written documentation I've ever seen. Ratios are buried in three lines of vague description. How is anyone supposed to learn this game.",complaint,True,
114,"Splitting against a composition that can't 1v1 you is a legitimate win condition. If you're playing a strong duelist and their entire team is teamfight-oriented, stay in side lane and force a 4v5.",strategy,True,
115,"Seeing Faker hit Challenger on every server in the same week is the most Faker thing that has ever happened. The man does not age.",hype,True,
116,"Every ranked season the climbing feels more exhausting than the last. The LP system changes, the matchmaking changes, and somehow it's always worse for solo players.",complaint,True,
117,"For assassins looking to gap close on carries, wait for the carry to use their mobility ability before engaging. Dashing into a Caitlyn with her E still up often means eating a net and getting away.",strategy,True,
118,"The cinematic quality of Riot's trailers has gotten to a point where they honestly compete with actual film trailers. The production value is insane.",hype,True,
119,"Riot's balance team consistently ignores the data. They'll leave a 54% win rate champion untouched for 3 patches and then nerf a 51% win rate champion into the ground.",complaint,True,
120,"Buying Stopwatch in your second item slot against champions like Zed or Talon is completely correct in certain matchups. It's not just a defensive waste — it buys you time to complete your damage item and shifts the all-in timing.",strategy,True,
121,"The cinematic for Arcane Season 2 gave me actual goosebumps. Riot's storytelling team has just evolved into something special.",hype,True,
122,"My ADC just recalled with full health when I had a kill setup ready. We've lost the kill, the wave, and now they're ahead. I cannot do this anymore.",complaint,True,
123,"If you're playing bot lane and your support roams, push the wave under tower immediately. You want the enemy to be last-hitting under their tower so they miss CS and can't trade effectively when the support returns.",strategy,True,
124,"The entire Odyssey skin line is still the best alternate universe Riot has ever created. Kayn Odyssey might be the peak of LoL skin design.",hype,True,
125,"Duo queue should be a separate queue from solo queue. The communication advantage of a duo is so massive that it completely warps the ranked experience for solo players.",complaint,True,
126,"For jungle clears, always check your HP before deciding to invade. A successful invade at 40% HP often just gets you killed. Recall, clear your own camps, and invade when you're healthy enough to win a fight.",strategy,True,
127,"BeryL is criminally underrated as a support. His playmaking in teamfights with engage champions is on par with any support in the world.",hype,True,
128,"The spectator mode for watching pro play is so outdated it's embarrassing. The camera controls are clunky and the UI gives you half the information you actually want.",complaint,True,
129,"As a mid laner, tracking the enemy jungler's position is more important than winning your lane 1v1. If you know where their jungler is at all times, you can either collapse on them or warn your teammates.",strategy,True,
130,"There is no better feeling in this game than a perfectly coordinated wombo combo teamfight going exactly as planned. When Malphite ults into Yasuo into Orianna, it never gets old.",hype,True,
131,"Veigar is one of the most broken champions in low elo and nobody talks about it. Infinite scaling, point and click stun, and massive AoE damage. It's basically free elo below Platinum.",strategy,True,
132,"The way Riot has handled champion updates in the past two years has been genuinely impressive. They're reworking kits while keeping the fantasy intact.",hype,True,
133,"I just watched my support roam and leave me in a 2v1 for 3 minutes without a single ping. Lost 3 towers and my jungle never came. How is this a ranked game.",complaint,True,
134,"When your team is grouped and the enemy is split, don't fight. Push a different lane instead. Make the 4v5 scenario work for you rather than forcing a teamfight.",strategy,True,
135,"The Baron Nashor visuals update is genuinely beautiful. The elder dragon rework too. Riot's environment art team deserves way more credit.",hype,True,
136,"Ranked in this game punishes you for playing with friends. The duo partner matchmaking adjustments make it almost impossible to climb when you're playing with someone who isn't exactly your elo.",complaint,True,
137,"For ADCs, the most common mistake is autoing minions during a trade window. When the support engages, stop farming and start trading. Every auto you put on a minion during a trade is a missed opportunity.",strategy,True,
138,"The LCK production for the 2024 finals looked absolutely next level. The holographic displays and stage effects are some of the best in esports.",hype,True,
139,"The champion pool in this game has gotten so large that balancing it is basically impossible. Riot can't meaningfully test 160+ champions in all matchup combinations.",complaint,True,
140,"When you're significantly ahead in gold as a team, trade objectives rather than forcing fights. Give up dragon to take baron, take inner towers in exchange for enemy control wards. Trade down while you're ahead.",strategy,True,
141,"The Jhin lore is one of the best character stories in any game. The Caretaker short story is masterful writing for a MOBA character.",hype,True,
142,"The concept of LP loss prevention should exist at every elo. Losing 20 LP because a random person decided to AFK is genuinely infuriating.",complaint,True,
143,"Playing safe in a losing matchup doesn't mean playing passive. It means picking your engagements carefully — only trade when you have a meaningful advantage like a cooldown lead or level spike.",strategy,True,
144,"Seeing a competitive team execute a perfectly-timed Baron steal in game 5 of a finals is one of the highest highs in watching esports.",hype,True,
145,"Riot has gone from releasing one champion a year that was carefully designed to releasing four a year that are overloaded messes.",complaint,True,
146,"For toplaners: don't TP to bot before 14 minutes unless it wins you the game immediately. Most TP plays bot in early game are only worth it if they result in a kill or a tower. An even trade or a failed TP wastes 4 minutes of your lane priority.",strategy,True,
147,"Rookie's Azir is the most mechanical mid lane play I've ever seen from a single player over a full season. Just pure mastery of one of the hardest champions in the game.",hype,True,
148,"Support main life is just sitting there watching your ADC make terrible decisions and knowing there's absolutely nothing you can do to stop them.",complaint,True,
149,"In the mid game, after taking a tower, immediately identify which objective is next and position for it. Don't just AFK in base after a good fight. The game is won and lost on what you do in the 90 seconds after a pick.",strategy,True,
150,"The 2017 World Championship final between Samsung and SKT is still the best series ever played at Worlds. That game 5 is on another level.",hype,True,
151,"There is no version of ADC that I find fun anymore. You're squishy, you're dependent on your support, and if you die once you're basically out of the game.",complaint,True,
152,"When building on-hit champions like Kog'Maw or Vayne, Blade of the Ruined King provides healing as a percentage of current health, which means it's most effective against tanky targets. Against squishy targets, pure damage items often out-perform it.",strategy,True,
153,"The animation team for Riot's champion trailers is just operating on a different level. Every release video makes me want to main the new champion immediately.",hype,True,
154,"Why does Riot keep nerfing champions who are only strong in professional play? Azir is unplayable in solo queue but gets nerfed because he's picked at Worlds.",complaint,True,
155,"Against heavy engage compositions, buy Locket of the Iron Solari on enchanters rather than a second heal/shield item. The active shield can protect your whole team from a Malphite ult and is often the difference in a teamfight.",strategy,True,
156,"Watching Korean training bootcamp content is so fascinating. The level of discipline and routine those players maintain is genuinely inspiring.",hype,True,
157,"This game literally rewards inting. If someone on your team runs it down mid, the enemy gets fed and your team gets behind, but the inter himself faces a 10-minute suspension at most.",complaint,True,
158,"Wukong is seriously underplayed in top lane right now. His kit has great split-push potential, solid 1v1 damage, and his R is a strong teamfight engage. Pick him up while he's flying under the radar.",strategy,True,
159,"The Broken Covenant skin line is one of the most cohesive and detailed alternate universes Riot has ever built. Every champion in that line feels like they belong.",hype,True,
160,"The fact that there's no visible MMR system is one of the biggest failures in LoL's design. Players deserve to see the hidden number that actually determines their matchmaking.",complaint,True,
161,"Building Sunfire Aegis on tanks is most effective when you're the frontline diving into clustered enemies. The damage scales with how long you stay in combat, so champions like Malphite or Ornn who stay in the thick of fights get more value than mobile tanks who dash in and out.",strategy,True,
162,"Gen.G's drafting in the 2024 LCK Spring split was the best sustained drafting performance I've ever seen from a team over a full regular season.",hype,True,
163,"The voice lines in this game are some of the best writing in any game. Arcane pushed Riot to take their own lore more seriously and you can feel the difference.",hype,True,
164,"Riot should be ashamed of how they've handled the Senna and Lucian meta. Two years of them being broken in pro play and they still can't find a balanced state.",complaint,True,
165,"If you're ahead as an assassin mid laner, don't roam without first pushing your wave under the enemy tower. A frozen wave when you roam means the enemy just farms for free while you're gone.",strategy,True,
166,"Watching Caps come back from a 0-6 game 1 to carry game 5 is the most G2 thing imaginable. That team has no business being as exciting as they are.",hype,True,
167,"The new player experience in this game is absolutely abysmal. There is no good tutorial, the bots are terrible, and you're thrown into ranked within 30 games. No wonder the community retention is struggling.",complaint,True,
168,"Against a composition with strong engage, buy Quicksilver Sash early on your carry. The active breaks chain CC like Malzahar ult, Warwick ult, and Zed death mark suppression effects.",strategy,True,
169,"The pool party skin line is still the most fun and creative thematic Riot has ever done. Every champion in the line just looks like they're having an amazing time.",hype,True,
170,"The current mastery system is completely unrewarding past level 7. There's no meaningful progression for high-mastery players. Riot has left this system untouched for years.",complaint,True,
171,"In the current meta, enchanters pair better with hypercarry ADCs than engage supports do. If your ADC is playing Jinx or Kog'Maw, stack Lulu or Karma rather than leaning on Thresh or Nautilus.",strategy,True,
172,"The way Doublelift talked about the NA scene in his retirement video was one of the most heartfelt and genuine moments in NA LoL history.",hype,True,
173,"I don't understand why Riot hasn't added a dedicated practice server where you can face real players without it affecting ranked. The practice tool is just not the same.",complaint,True,
174,"When counterpicked in lane, focus on farming safely with the goal of surviving to mid game. Your power spike against a hard counter may come from item completion rather than level advantage.",strategy,True,
175,"The Teamfight Tactics crossover events are actually some of the most creative seasonal content Riot puts out. The lore integration is clever.",hype,True,
176,"Ranked flex queue is completely meaningless as a rank indicator. People just use it to play unseriously and inflate their flex rank with premades.",complaint,True,
177,"Shaco jungle is specifically powerful in low-elo because most players don't ward the correct locations to track his pathing. His boxes placed deep in the enemy jungle deny vision and create paranoia that disrupts the enemy jungler's rhythm.",strategy,True,
178,"The Piltover vs Zaun conflict portrayed in Arcane is genuinely one of the most compelling fictional world-building narratives in modern gaming.",hype,True,
179,"The game's ping system has barely improved in 10 years. 'Enemy missing' and 'on my way' are fine, but there's so much more nuanced communication that a proper ping wheel would support.",complaint,True,
180,"For AP carries in teamfights, look for the moment the enemy frontline has burned their CC before stepping forward. Walking into Malphite's ult as an immobile mage is almost always fatal.",strategy,True,
181,"FPX winning worlds in 2019 with that roster was one of the best storylines in competitive LoL. Tian in particular played one of the best tournaments by a jungler ever.",hype,True,
182,"The current LP gains for autofilled games should be buffed. You're playing a role you didn't queue for and playing at a disadvantage. The game should compensate for that.",complaint,True,
183,"Cho'Gath top lane is an incredibly consistent pick in the current meta that nobody is talking about. His natural tankiness, point-and-click CC, and true damage execute make him relevant in almost any game state.",strategy,True,
184,"The Elderwood skin line is absolutely gorgeous. The detail on Elderwood Ornn in particular is some of the best environmental art Riot has put into a champion skin.",hype,True,
185,"It's genuinely baffling that there's no in-game coaching or mentorship mode. The game is incredibly complex and there's no official way to learn from a more experienced player in a live setting.",complaint,True,
186,"When playing Zilean support, save your double bomb combo for isolated priority targets rather than spreading CC in teamfights. A stunned carry is worth far more than slowing two minions and a frontliner.",strategy,True,
187,"That moment when T1 qualified for their fourth Worlds finals and the crowd just lost their minds. There's nothing like a packed arena at a LoL Worlds event.",hype,True,
188,"The state of Marksmen in the current meta is embarrassing. You spend 20 minutes farming, fall behind because assassins roam, and then get told you should have been more aggressive. There's no winning.",complaint,True,
189,"For players trying to break out of Bronze and Silver: the single highest-impact habit you can build is backing when your HP is below 40%. Low HP makes you a target for dives and ganks. High HP players force the enemy to play more carefully.",strategy,True,
190,"The entire 'Ruination' story arc from 2021 was a genuinely ambitious narrative expansion for a MOBA. Riot tried to do something cinematic and story-driven with a live event and I respect that.",hype,True,
191,"I just got chat restricted for defending myself against someone who was actively flaming me first. Riot's chat restriction system is completely broken.",complaint,True,
192,"Understanding fog of war control is what separates Gold players from Platinum players. Place a ward in the river bush before you shove the wave. That one ward tells you if the jungler is near and gives you 20 seconds of safe farming time.",strategy,True,
193,"The caster duo of Phreak and Kobe during LCS broadcasts is genuinely one of the best color commentary pairings in any esport. Their chemistry makes even a stomp watchable.",hype,True,
194,"Riot consistently prioritizes esports champion balance over solo queue champion balance. Players who don't watch pro play are basically playing a different game than the one being balanced.",complaint,True,
195,"Smite on a non-jungle champion is almost never worth it unless you're specifically counter-jungling in a coordinated team composition. The item tax from Smite's Smite item is too high for the occasional objective secure.",strategy,True,
196,"The new music Riot releases with each World Championship is always some of their best work. 'Worlds Collide' from 2018 is still incredible.",hype,True,
197,"There should be a mandatory break mechanic in this game. Playing 8 hours of ranked in a row and then tilting is destroying your MMR. The game should warn you.",complaint,True,
198,"If you're playing a tank engage champion, your job in the first 20 minutes is to absorb poke while maintaining zone control near objectives. Don't try to force a fight you can't win. Let the enemy use their abilities on you and then engage when they're on cooldown.",strategy,True,
199,"Watching Worlds for the first time as a new player changed the way I thought about this game entirely. Seeing what's possible at the highest level just reignites everything.",hype,True,
200,"The state of the jungle role in solo queue is genuinely demoralizing. You're blamed for every lane losing even when you're 3 camps away and have no way to help.",complaint,True,
201,"Against poke compositions, build sustain items early. Corrupting Potion into Doran's Shield mitigates most poke patterns in the early laning phase. Don't play reactively and try to trade back — just sustain through it and wait for the gank.",strategy,True,
202,"I love how the NA crowd cheers even when NA teams are getting eliminated at Worlds. There's something genuinely charming about NA's relationship with international competition.",hype,True,
203,"The item shop UI has barely improved in years. It's still slow to navigate, the recommended items are often outdated, and there's no way to pre-plan builds effectively.",complaint,True,
204,"For ADC players transitioning to higher elo: focus less on auto-attack speed and more on your positioning relative to the enemy frontline. In higher elo, standing in the wrong position gets you killed instantly regardless of your mechanical skill.",strategy,True,
205,"The 'Pentakill' cinematic with Mordekaiser was one of the most metal things Riot has ever produced. Seeing full-on animated heavy metal with LoL characters is so ridiculous and I love it.",hype,True,
206,"Riot's response time to game-breaking bugs is completely unacceptable. A champion can be completely busted for two weeks before a hotfix.",complaint,True,
207,"Zilean is one of the most underrated supports in solo queue right now. His double bomb stun on an isolated target has one of the highest single-target CC durations in the game, and his ultimate is a full revive that changes teamfight math entirely.",strategy,True,
208,"Nothing beats the feeling of finally getting that champion you've been grinding to mastery 7. The satisfaction of seeing that token unlock is genuinely rewarding.",hype,True,
209,"The fact that Riot still hasn't added a proper coaching feature or VOD review tool within the client is inexcusable for a competitive game in 2024.",complaint,True,
210,"In teamfights, as a carry, prioritize the target that is threatening your life over the target with the most kill pressure on the enemy team. Self-preservation in a teamfight is always the first priority — dead carries deal zero damage.",strategy,True,
